trial,model,decision,score,altscore,rt,distance,countA,countB,maxcount,maxspeed_front,maxspeed_back,correct_model,acc
ABABBABB,likelihood_ratio,N,,,,3,3,5,5,0.5,0.75,snr,0
ABABBABB,likelihood_ratio,N,,,,3,3,5,5,0.5,0.75,incremental_lba,0
ABABBABB,likelihood_ratio,N,,,,3,3,5,5,0.5,0.75,urgency_gating,-1
ABABBABB,likelihood_ratio,N,,,,3,3,5,5,0.5,0.75,blcba,0
ABABBABB,likelihood_ratio,N,,,,3,3,5,5,0.5,0.75,relcount,-1
ABABBABB,likelihood_ratio,N,,,,3,3,5,5,0.5,0.75,abscount,-1
ABABBABB,urgency_gating,N,,,,3,3,5,5,0.5,0.75,information,-1
ABABBABB,urgency_gating,N,,,,3,3,5,5,0.5,0.75,naive_probability,0
ABABBABB,urgency_gating,N,,,,3,3,5,5,0.5,0.75,snr,0
ABABBABB,urgency_gating,N,,,,3,3,5,5,0.5,0.75,incremental_lba,0
ABABBABB,urgency_gating,N,,,,3,3,5,5,0.5,0.75,likelihood_ratio,-1
ABABBABB,urgency_gating,N,,,,3,3,5,5,0.5,0.75,relcount,-1
ABABBABB,urgency_gating,N,,,,3,3,5,5,0.5,0.75,blcba,0
ABABBABB,urgency_gating,N,,,,3,3,5,5,0.5,0.75,abscount,-1
ABABBABB,snr,B,2.0,0.0,2,3,3,5,5,0.5,0.75,information,0
ABABBABB,snr,B,2.0,0.0,2,3,3,5,5,0.5,0.75,naive_probability,1
ABABBABB,snr,B,2.0,0.0,2,3,3,5,5,0.5,0.75,incremental_lba,0
ABABBABB,snr,B,2.0,0.0,2,3,3,5,5,0.5,0.75,likelihood_ratio,0
ABABBABB,snr,B,2.0,0.0,2,3,3,5,5,0.5,0.75,urgency_gating,0
ABABBABB,snr,B,2.0,0.0,2,3,3,5,5,0.5,0.75,blcba,1
ABABBABB,snr,B,2.0,0.0,2,3,3,5,5,0.5,0.75,relcount,0
ABABBABB,snr,B,2.0,0.0,2,3,3,5,5,0.5,0.75,abscount,0
ABABBABB,relcount,N,,,,3,3,5,5,0.5,0.75,information,-1
ABABBABB,relcount,N,,,,3,3,5,5,0.5,0.75,naive_probability,0
ABABBABB,relcount,N,,,,3,3,5,5,0.5,0.75,snr,0
ABABBABB,relcount,N,,,,3,3,5,5,0.5,0.75,incremental_lba,0
ABABBABB,relcount,N,,,,3,3,5,5,0.5,0.75,likelihood_ratio,-1
ABABBABB,relcount,N,,,,3,3,5,5,0.5,0.75,urgency_gating,-1
ABABBABB,relcount,N,,,,3,3,5,5,0.5,0.75,blcba,0
ABABBABB,relcount,N,,,,3,3,5,5,0.5,0.75,abscount,-1
ABABBABB,blcba,B,1.98,-0.98,1,3,3,5,5,0.5,0.75,information,0
ABABBABB,blcba,B,1.98,-0.98,1,3,3,5,5,0.5,0.75,naive_probability,1
ABABBABB,blcba,B,1.98,-0.98,1,3,3,5,5,0.5,0.75,snr,1
ABABBABB,blcba,B,1.98,-0.98,1,3,3,5,5,0.5,0.75,incremental_lba,0
ABABBABB,blcba,B,1.98,-0.98,1,3,3,5,5,0.5,0.75,likelihood_ratio,0
ABABBABB,blcba,B,1.98,-0.98,1,3,3,5,5,0.5,0.75,urgency_gating,0
ABABBABB,blcba,B,1.98,-0.98,1,3,3,5,5,0.5,0.75,relcount,0
ABABBABB,blcba,B,1.98,-0.98,1,3,3,5,5,0.5,0.75,abscount,0
ABABBABB,abscount,N,,,,3,3,5,5,0.5,0.75,information,-1
ABABBABB,abscount,N,,,,3,3,5,5,0.5,0.75,naive_probability,0
ABABBABB,abscount,N,,,,3,3,5,5,0.5,0.75,snr,0
ABABBABB,abscount,N,,,,3,3,5,5,0.5,0.75,incremental_lba,0
ABABBABB,abscount,N,,,,3,3,5,5,0.5,0.75,likelihood_ratio,-1
ABABBABB,abscount,N,,,,3,3,5,5,0.5,0.75,urgency_gating,-1
ABABBABB,abscount,N,,,,3,3,5,5,0.5,0.75,blcba,0
ABABBABB,abscount,N,,,,3,3,5,5,0.5,0.75,relcount,-1
ABAABBBA,information,N,,,,4,4,4,4,0.75,0.75,naive_probability,0
ABAABBBA,information,N,,,,4,4,4,4,0.75,0.75,snr,0
ABAABBBA,information,N,,,,4,4,4,4,0.75,0.75,incremental_lba,0
ABAABBBA,information,N,,,,4,4,4,4,0.75,0.75,likelihood_ratio,-1
ABAABBBA,information,N,,,,4,4,4,4,0.75,0.75,urgency_gating,-1
ABAABBBA,information,N,,,,4,4,4,4,0.75,0.75,blcba,0
ABAABBBA,information,N,,,,4,4,4,4,0.75,0.75,relcount,-1
ABAABBBA,information,N,,,,4,4,4,4,0.75,0.75,abscount,-1
ABAABBBA,naive_probability,A,0.75,0,3,4,4,4,4,0.75,0.75,information,0
ABAABBBA,naive_probability,A,0.75,0,3,4,4,4,4,0.75,0.75,snr,0
ABAABBBA,naive_probability,A,0.75,0,3,4,4,4,4,0.75,0.75,incremental_lba,1
ABAABBBA,naive_probability,A,0.75,0,3,4,4,4,4,0.75,0.75,likelihood_ratio,0
ABAABBBA,naive_probability,A,0.75,0,3,4,4,4,4,0.75,0.75,urgency_gating,0
ABAABBBA,naive_probability,A,0.75,0,3,4,4,4,4,0.75,0.75,blcba,0
ABAABBBA,naive_probability,A,0.75,0,3,4,4,4,4,0.75,0.75,relcount,0
ABAABBBA,naive_probability,A,0.75,0,3,4,4,4,4,0.75,0.75,abscount,0
ABAABBBA,incremental_lba,A,0.8,0.1,7,4,4,4,4,0.75,0.75,information,0
ABAABBBA,incremental_lba,A,0.8,0.1,7,4,4,4,4,0.75,0.75,naive_probability,1
ABAABBBA,incremental_lba,A,0.8,0.1,7,4,4,4,4,0.75,0.75,snr,0
ABAABBBA,incremental_lba,A,0.8,0.1,7,4,4,4,4,0.75,0.75,likelihood_ratio,0
ABAABBBA,incremental_lba,A,0.8,0.1,7,4,4,4,4,0.75,0.75,urgency_gating,0
ABAABBBA,incremental_lba,A,0.8,0.1,7,4,4,4,4,0.75,0.75,blcba,0
ABAABBBA,incremental_lba,A,0.8,0.1,7,4,4,4,4,0.75,0.75,relcount,0
ABAABBBA,incremental_lba,A,0.8,0.1,7,4,4,4,4,0.75,0.75,abscount,0
ABAABBBA,likelihood_ratio,N,,,,4,4,4,4,0.75,0.75,information,-1
ABAABBBA,likelihood_ratio,N,,,,4,4,4,4,0.75,0.75,naive_probability,0
