trial,model,decision,score,altscore,rt,distance,countA,countB,maxspeed_front,maxspeed_back
ABAAABBABBBABB,naive_probability,A,0.75,0,3,7,6,8,0.5714285714285714,0.7142857142857143
ABABABBBAAABAB,information,B,0.67988480751028646,0.40793088450617188,8,2,7,7,0.5714285714285714,0.5714285714285714
ABABABBBAAABAB,relcount,A,0.6666666666666666,0.33333333333333337,3,2,7,7,0.5714285714285714,0.5714285714285714
ABABABBBAAABAB,abscount,N,,,,2,7,7,0.5714285714285714,0.5714285714285714
ABABABBBAAABAB,likelihood_ratio,N,,,,2,7,7,0.5714285714285714,0.5714285714285714
ABABABBBAAABAB,naive_probability,B,0.75,0,6,2,7,7,0.5714285714285714,0.5714285714285714
ABABABBBAAABAA,information,B,0.67988480751028646,0.40793088450617188,8,3,8,6,0.5714285714285714,0.7142857142857143
ABABABBBAAABAA,relcount,A,0.6666666666666666,0.33333333333333337,3,3,8,6,0.5714285714285714,0.7142857142857143
ABABABBBAAABAA,abscount,N,,,,3,8,6,0.5714285714285714,0.7142857142857143
ABABABBBAAABAA,likelihood_ratio,N,,,,3,8,6,0.5714285714285714,0.7142857142857143
ABABABBBAAABAA,naive_probability,B,0.75,0,6,3,8,6,0.5714285714285714,0.7142857142857143
ABBBBBABABBBAA,information,B,0.67988480751028646,0.13597696150205729,6,4,5,9,0.7142857142857143,0.5714285714285714
ABBBBBABABBBAA,relcount,B,0.6666666666666667,0.3333333333333333,3,4,5,9,0.7142857142857143,0.5714285714285714
ABBBBBABABBBAA,abscount,N,,,,4,5,9,0.7142857142857143,0.5714285714285714
ABBBBBABABBBAA,likelihood_ratio,B,-1.380211241711606,0,5,4,5,9,0.7142857142857143,0.5714285714285714
ABBBBBABABBBAA,naive_probability,B,0.75,0,2,4,5,9,0.7142857142857143,0.5714285714285714
ABBBBBABBBBABB,information,B,0.67988480751028646,0.13597696150205729,6,6,3,11,0.7142857142857143,0.8571428571428571
ABBBBBABBBBABB,relcount,B,0.6666666666666667,0.3333333333333333,3,6,3,11,0.7142857142857143,0.8571428571428571
ABBBBBABBBBABB,abscount,B,0.7142857142857143,0.21428571428571427,13,6,3,11,0.7142857142857143,0.8571428571428571
ABBBBBABBBBABB,likelihood_ratio,B,-1.380211241711606,0,5,6,3,11,0.7142857142857143,0.8571428571428571
