trial,model,decision,score,altscore,rt,distance,countA,countB,maxcount,maxspeed_front,maxspeed_back
ABABABAB,snr_meandefault,B,0.707106781187,0.125,2,0,4,4,4,0.5,0.5
ABABABAB,snr,B,0.707106781187,0.0,2,0,4,4,4,0.5,0.5
ABABABAB,blca_k0_wi0.25_leak0.2_beta0.1,A,0.67164775,0.314107725,5,0,4,4,4,0.5,0.5
ABABABAB,lba_k0_d0.06,N,,,,0,4,4,4,0.5,0.5
ABABABAB,relcount,A,0.666666666667,0.333333333333,3,0,4,4,4,0.5,0.5
ABABABAB,lba_k0_d0.125,N,,,,0,4,4,4,0.5,0.5
ABABABAB,blca_k0_wi0.125_leak0.2_beta0.1,N,,,,0,4,4,4,0.5,0.5
ABABABAB,abscount,N,,,,0,4,4,4,0.5,0.5
ABABABAB,lba_k0_d0.5,A,1.0,0.5,3,0,4,4,4,0.5,0.5
ABABABAB,blca_k0_wi0.125_leak0.2_beta0,N,,,,0,4,4,4,0.5,0.5
BBBBBBBB,information,B,0.75,0.0,4,4,0,8,8,1.0,1.0
BBBBBBBB,blca_k0_wi0.25_leak0.2_beta0,B,0.75,0.0,3,4,0,8,8,1.0,1.0
BBBBBBBB,blca_k0_wi0.06_leak0_beta0.1,N,,,,4,0,8,8,1.0,1.0
BBBBBBBB,likelihood_ratio,N,,,,4,0,8,8,1.0,1.0
BBBBBBBB,blca_k0_wi0.125_leak0_beta0.1,B,0.769001882513,0,6,4,0,8,8,1.0,1.0
BBBBBBBB,naive,B,0.75,0,1,4,0,8,8,1.0,1.0
BBBBBBBB,blca_k0_wi0.06_leak0.2_beta0.1,N,,,,4,0,8,8,1.0,1.0
BBBBBBBB,blca_k0_wi0.25_leak0_beta0.1,B,0.757525,0,3,4,0,8,8,1.0,1.0
BBBBBBBB,blca_k0_wi0.06_leak0.2_beta0,N,,,,4,0,8,8,1.0,1.0
BBBBBBBB,lba_k0_d0.25,B,0.75,0.0,3,4,0,8,8,1.0,1.0
BBBBBBBB,snr_meandefault,B,0.75,0.0,6,4,0,8,8,1.0,1.0
BBBBBBBB,snr,N,,,,4,0,8,8,1.0,1.0
BBBBBBBB,blca_k0_wi0.25_leak0.2_beta0.1,B,0.757525,0,3,4,0,8,8,1.0,1.0
BBBBBBBB,lba_k0_d0.06,N,,,,4,0,8,8,1.0,1.0
BBBBBBBB,relcount,N,,,,4,0,8,8,1.0,1.0
BBBBBBBB,lba_k0_d0.125,B,0.75,0.0,6,4,0,8,8,1.0,1.0
BBBBBBBB,blca_k0_wi0.125_leak0.2_beta0.1,B,0.769001882513,0,6,4,0,8,8,1.0,1.0
BBBBBBBB,abscount,B,0.75,0.0,6,4,0,8,8,1.0,1.0
BBBBBBBB,lba_k0_d0.5,B,1.0,0.0,2,4,0,8,8,1.0,1.0
BBBBBBBB,blca_k0_wi0.125_leak0.2_beta0,B,0.75,0.0,6,4,0,8,8,1.0,1.0
ABBBBBBB,information,B,0.75,0.1875,5,3,1,7,7,0.75,1.0
ABBBBBBB,blca_k0_wi0.25_leak0.2_beta0,B,0.75,0.25,4,3,1,7,7,0.75,1.0
ABBBBBBB,blca_k0_wi0.06_leak0_beta0.1,N,,,,3,1,7,7,0.75,1.0
ABBBBBBB,likelihood_ratio,B,-1.38021124171,0,5,3,1,7,7,0.75,1.0
ABBBBBBB,blca_k0_wi0.125_leak0_beta0.1,B,0.715009061261,0,7,3,1,7,7,0.75,1.0
